總集數 ,集數 ,中文集名 ,英文原名 ,導演 ,編劇 ,首播日期
26,2,卡羅的母乳 ,The One with the Breast Milk ,Michael Lembeck ,Adam Chase 和 Ira Ungerleider ,1995年9月28日
27,3,海克里斯先生死了 ,The One Where Heckles Dies ,Kevin S. Bright ,Michael Curtis 和 Gregory S. Malins ,1995年10月5日
28,4,菲比的丈夫 ,The One with Phoebe's Husband ,Gail Mancuso ,Alexa Junge ,1995年10月12日
29,5,五塊牛排和一個茄子 ,The One with Five Steaks and an Eggplant ,Ellen Gittelsohn ,Chris Brown ,1995年10月19日
30,6,公車丟童記 ,The One with the Baby on the Bus ,Gail Mancuso ,Betsy Borns ,1995年11月2日
31,7,羅斯知道了 ,The One Where Ross Finds Out ,Peter Bonerz ,Michael Borkow ,1995年11月9日
32,8,愛情清單 ,The One with the List ,Mary Kay Place ,David Crane & Marta Kauffman ,1995年11月16日
33,9,菲比的父親 ,The One with Phoebe's Dad ,Kevin S. Bright ,Jeff Astrof & Mike Sikowitz ,1995年12月14日
34,10,雙羅斯記 ,The One with Russ ,Thomas Schlamme ,Ira Ungerleider ,1996年1月4日
35,11,女同性戀的婚禮 ,The One with the Lesbian Wedding ,Thomas Schlamme ,Doty Abrams ,1996年1月18日
36,12,超級盃之後：上 ,The One After the Superbowl 1 ,Michael Lembeck ,Jeff Astrof & Mike Sikowitz ,1996年1月28日
37,13,超級盃之後：下 ,The One After the Superbowl 2 ,Michael Lembeck ,Michael Borkow ,1996年1月28日
38,14,畢業舞會的錄影帶 ,The One with the Prom Video ,James Burrows ,Alexa Junge ,1996年2月1日
39,15,羅斯和瑞秋...你懂的 ,The One Where Ross and Rachel...You Know ,Michael Lembeck ,Michael Curtis 和 Gregory S. Malins ,1996年2月8日
40,16,喬伊搬出去了 ,The One Where Joey Moves Out ,Michael Lembeck ,Betsy Borns ,1996年2月15日
41,17,艾迪搬進來了 ,The One Where Eddie Moves In ,Michael Lembeck ,Adam Chase ,1996年2月22日
42,18,拉莫瑞醫生死了 ,The One Where Dr. Ramoray Dies ,Michael Lembeck ,故事: Alexa Junge；電視劇本: Michael ,Borkow 1996年3月21日
43,19,艾迪不願意走 ,The One Where Eddie Won't Go ,Michael Lembeck ,Michael Curtis & Gregory S. Malins ,1996年3月28日
44,20,老黃狗死了 ,The One Where Old Yeller Dies ,Michael Lembeck ,故事: Michael Curtis 和 Gregory S. Malin,s1996年4月4日
45,21,咖啡館遭遇流氓 ,The One with the Bullies ,Michael Lembeck ,Brian Buckner 和 Sebastian Jones ,1996年4月25日
46,22,兩個派對 ,The One with the Two Parties ,Michael Lembeck ,Alexa Junge ,1996年5月2日
47,23,菲比出水痘 ,The One with the Chicken Pox ,Michael Lembeck ,Brown Mandell ,1996年5月9日
